"No. SD"	"Nom F"	"SB-Code"	"Créé le"	"Modifié le"
"0.000.0.0"	"Professions"	""	"27.03.2008"	"25.11.2013"	
"0.000.2.0"	"Professions (divers)"	""	"26.01.2011"	"27.01.2011"	
"0.100.0.0"	"Nature"	""	"13.04.2000"	"13.03.2002"	
"0.100.1.0"	"Nature (divers)"	""	"26.01.2011"	""	
"0.110.0.0"	"Extraction, travail de la pierre"	""	"13.04.2000"	"02.02.2010"	
"0.110.3.1"	"Cimentier/ière (CFC), abr. 2001"	""	"11.12.2003"	"25.08.2015"	
"0.110.3.0"	"Constructeur/trice d'éléments en béton préfabriqués CFC"	""	"17.07.2001"	"09.11.2009"	
"0.110.5.11"	"Équarrisseur/euse de pierre (CFC), abr. 1992"	""	"14.09.2020"	"14.09.2020"	
"0.110.11.0"	"Extraction, travail de la pierre (divers)"	""	"26.01.2011"	""	
"0.110.9.0"	"Machiniste de cimenterie (CFC), abr. 2015"	""	""	"17.11.2014"	
"0.110.8.0"	"Maître marbrier/ière (DF), abr. 2024"	""	"27.04.2000"	"19.09.2024"	
"0.110.5.8"	"Marbrier/ière CFC, abr. 2021"	""	"14.09.2020"	"14.09.2020"	
"0.110.5.7"	"Marbrier/ière du bâtiment CFC, abr. 2021"	""	"14.09.2020"	"14.09.2020"	
"0.110.5.10"	"Ouvrier/ière sur pierre (CFC), abr. 2009"	""	"14.09.2020"	"14.09.2020"	
"0.110.5.6"	"Sculpteur/trice sur pierre CFC, abr. 2021"	""	"14.09.2020"	"14.09.2020"	
"0.110.5.4"	"Tailleur/euse de pierre (Bâtiment et rénovation) CFC"	""	"09.12.2019"	"14.09.2020"	
"0.110.5.5"	"Tailleur/euse de pierre (Conception et marbrerie) CFC"	""	"09.12.2019"	"14.09.2020"	
"0.110.5.3"	"Tailleur/euse de pierre (Industrie) CFC"	""	"09.12.2019"	"14.09.2020"	
"0.110.5.2"	"Tailleur/euse de pierre (Sculpture) CFC"	""	"09.12.2019"	"14.09.2020"	
"0.110.5.0"	"Tailleur/euse de pierre CFC"	""	"27.04.2000"	"14.09.2020"	
"0.120.0.0"	"Économie forestière"	""	"13.04.2000"	"04.06.2020"	
"0.120.14.0"	"Chef/fe des opérations de câblage forestier (BF)"	""	"21.06.2004"	"15.02.2018"	
"0.120.7.0"	"Conducteur/trice d'engins forestiers (BF)"	""	""	"06.08.2014"	
"0.120.5.0"	"Contremaître/esse forestier/ière (BF)"	""	"02.05.2000"	"22.04.2022"	
"0.120.16.0"	"Économie forestière (divers)"	""	"26.01.2011"	"04.06.2020"	
"0.120.2.0"	"Forestier/ière dipl. ES"	""	"02.05.2000"	"24.06.2005"	
"0.120.6.0"	"Forestier/ière-bûcheron/ne CFC"	""	""	"21.10.2008"	
"0.120.8.0"	"Ingénieur/e forestier/ière HES"	""	"04.03.2003"	"11.11.2010"	
"0.120.17.0"	"Praticien/ne forestier/ière AFP"	""	"26.01.2012"	"25.10.2012"	
"0.120.14.1"	"Spécialiste câble-grue (BF), abr. 2017"	""	"16.11.2017"	"15.02.2018"	
"0.120.9.0"	"Spécialiste en protections naturelles contre les intempéries (ct. TI)"	""	""	"14.03.2012"	
"0.130.0.0"	"Agriculture"	""	"30.11.1999"	"18.09.1996"	
"0.130.12.10"	"Agriculteur/trice (Aviculture) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.11.1"	"Agriculteur/trice (BF), abr. 2013"	""	"13.11.2013"	"20.01.2014"	
"0.130.12.5"	"Agriculteur/trice (domaine spécifique Production biologique) CFC, abr. 2026"	""	"29.06.2015"	"08.08.2025"	
"0.130.12.7"	"Agriculteur/trice (Économie alpestre et agriculture de montagne) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.12.6"	"Agriculteur/trice (Grandes cultures) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.12.9"	"Agriculteur/trice (Production bovine) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.12.11"	"Agriculteur/trice (Production porcine) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.12.8"	"Agriculteur/trice (Production végétale biologique) CFC"	""	"15.04.2024"	"08.08.2025"	
"0.130.12.2"	"Agriculteur/trice avec spécialisation en agriculture biologique"	""	"11.12.2003"	"19.08.2010"	
"0.130.12.0"	"Agriculteur/trice CFC"	""	""	"08.08.2025"	
"0.130.28.2"	"Agriculteur/trice en agriculture biodynamique"	""	"16.11.2004"	"08.08.2006"	
"0.130.34.0"	"Agriculture (divers)"	""	"26.01.2011"	""	
"0.130.33.1"	"Agro-commerçant/e (BF), abr. 2009"	""	"08.12.2009"	"08.12.2009"	
"0.130.33.0"	"Agro-commerçant/e dipl. ES"	""	"14.08.2008"	"28.02.2022"	
"0.130.17.0"	"Agro-technicien/ne dipl. ES"	""	"21.10.1999"	"28.02.2022"	
"0.130.32.1"	"Agropraticien/ne (Agriculture) AFP"	""	"20.05.2009"	"03.02.2014"	
"0.130.32.2"	"Agropraticien/ne (Cultures spéciales) AFP"	""	"20.05.2009"	"18.08.2010"	
"0.130.32.3"	"Agropraticien/ne (Vinification) AFP"	""	"20.05.2009"	"03.03.2020"	
"0.130.32.0"	"Agropraticien/ne AFP"	""	"27.03.2008"	"27.01.2026"	
"0.130.27.1"	"Arboriculteur/trice (BF), abr. 2013"	""	"13.11.2013"	"20.01.2014"	
"0.130.14.2"	"Arboriculteur/trice (domaine spécifique Production biologique) CFC, abr. 2026"	""	"29.06.2015"	"07.08.2025"	
"0.130.14.0"	"Arboriculteur/trice CFC"	""	""	"07.08.2025"	
"0.130.6.5"	"Arboriste-grimpeur/euse"	""	"26.06.2012"	"26.06.2012"	
"0.130.12.13"	"Aviculteur/trice (domaine spécifique Production biologique) CFC, abr. 2026"	""	"08.08.2025"	"08.08.2025"	
"0.130.12.12"	"Aviculteur/trice CFC, abr. 2026"	""	"08.08.2025"	"08.08.2025"	
"0.130.18.5"	"Caviste CFC, abr. 2026"	""	"08.08.2025"	"08.08.2025"	
"0.130.11.0"	"Chef/fe d'exploitation agricole (BF)"	""	"23.08.2000"	"02.02.2015"	
"0.130.27.0"	"Chef/fe d'exploitation arboricole (BF)"	""	"19.05.2004"	"02.02.2015"	
"0.130.36.0"	"Chef/fe d'exploitation maraîchère (BF)"	""	"13.11.2013"	"18.04.2023"	
"0.130.24.0"	"Chef/fe d'exploitation viticole (BF)"	""	"04.12.2001"	"05.05.2015"	
"0.130.30.2"	"Conseiller/ère agricole"	""	"17.10.2006"	"09.11.2006"	
"0.130.30.1"	"Conseiller/ère en économie familiale"	""	"17.10.2006"	"19.08.2010"	
"0.130.30.0"	"Conseiller/ère en milieu rural dipl. (DF), abr. 2016"	""	"17.10.2006"	"18.07.2019"	
"0.130.22.0"	"Ingénieur/e agronome (U)"	""	""	"31.05.2011"	
"0.130.22.1"	"Ingénieur/e en agronomie (U)"	""	"06.04.2011"	"31.05.2011"	
"0.130.1.0"	"Ingénieur/e HES en agronomie"	""	""	"16.07.2018"	
"0.130.1.2"	"Ingénieur/e HES en agronomie, agriculture internationale"	""	"11.12.2003"	"12.03.2008"	
"0.130.1.1"	"Ingénieur/e HES en agronomie, économie agraire"	""	"11.12.2003"	"12.03.2008"	
"0.130.1.3"	"Ingénieur/e HES en agronomie, production animale"	""	"11.12.2003"	"29.04.2014"	
