"Domaine de formation","Canton de l'entreprise formatrice","Type de formation","Mode d'enseignement","Sexe","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Domaine de formation - total","Suisse","CFC","Plein temps en école","Sexe - total",24840,24994,24566,23928,23261,23220,22660,22446,22633,23110
"Domaine de formation - total","Suisse","CFC","Dual","Sexe - total",183332,181486,179850,177082,175097,174217,173934,172599,174025,176640
"Domaine de formation - total","Suisse","AFP","Plein temps en école","Sexe - total",481,514,451,496,485,496,486,464,459,433
"Domaine de formation - total","Suisse","AFP","Dual","Sexe - total",12466,12894,12951,13358,14023,14140,13894,13073,12322,12091
"Domaine de formation - total","Zürich","CFC","Plein temps en école","Sexe - total",1384,1404,1401,1375,1419,1473,1450,1476,1559,1671
"Domaine de formation - total","Zürich","CFC","Dual","Sexe - total",32389,32416,32409,32261,32085,32204,32200,32255,32724,33441
"Domaine de formation - total","Zürich","AFP","Plein temps en école","Sexe - total",0,0,1,0,0,0,0,0,0,0
"Domaine de formation - total","Zürich","AFP","Dual","Sexe - total",2178,2238,2277,2298,2386,2429,2419,2273,2188,2070
"Domaine de formation - total","Bern / Berne","CFC","Plein temps en école","Sexe - total",2438,2393,2270,2184,2020,2108,2074,2031,2014,2043
"Domaine de formation - total","Bern / Berne","CFC","Dual","Sexe - total",25611,25280,25038,24599,24199,23947,23847,23292,23293,23757
"Domaine de formation - total","Bern / Berne","AFP","Plein temps en école","Sexe - total",267,276,266,266,253,251,242,229,217,200
"Domaine de formation - total","Bern / Berne","AFP","Dual","Sexe - total",1502,1557,1523,1571,1688,1747,1617,1532,1418,1351
"Domaine de formation - total","Luzern","CFC","Plein temps en école","Sexe - total",529,524,525,490,496,529,531,547,541,580
"Domaine de formation - total","Luzern","CFC","Dual","Sexe - total",10919,10814,10603,10316,10147,10102,10047,9977,10113,10241
"Domaine de formation - total","Luzern","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Luzern","AFP","Dual","Sexe - total",816,899,935,954,959,933,932,874,819,827
"Domaine de formation - total","Uri","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Uri","CFC","Dual","Sexe - total",1116,1099,1091,1079,1058,1044,1060,1014,994,983
"Domaine de formation - total","Uri","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Uri","AFP","Dual","Sexe - total",33,40,45,58,64,59,51,45,37,44
"Domaine de formation - total","Schwyz","CFC","Plein temps en école","Sexe - total",70,56,49,31,19,12,0,0,0,0
"Domaine de formation - total","Schwyz","CFC","Dual","Sexe - total",3176,3151,3117,3042,3004,2990,2994,2993,2999,3085
"Domaine de formation - total","Schwyz","AFP","Plein temps en école","Sexe - total",1,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Schwyz","AFP","Dual","Sexe - total",175,196,185,187,203,228,237,207,186,153
"Domaine de formation - total","Obwalden","CFC","Plein temps en école","Sexe - total",0,28,31,32,33,40,43,39,45,48
"Domaine de formation - total","Obwalden","CFC","Dual","Sexe - total",1013,1016,1003,968,939,937,964,932,977,987
"Domaine de formation - total","Obwalden","AFP","Plein temps en école","Sexe - total",0,0,1,3,1,2,2,2,1,0
"Domaine de formation - total","Obwalden","AFP","Dual","Sexe - total",61,63,52,55,63,56,54,44,42,38
"Domaine de formation - total","Nidwalden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Nidwalden","CFC","Dual","Sexe - total",1098,1062,1056,1050,1002,1010,1022,1016,1027,988
"Domaine de formation - total","Nidwalden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Nidwalden","AFP","Dual","Sexe - total",60,58,61,63,59,60,74,54,51,53
"Domaine de formation - total","Glarus","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Glarus","CFC","Dual","Sexe - total",1122,1090,1071,1059,1039,1001,997,1005,999,966
"Domaine de formation - total","Glarus","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Glarus","AFP","Dual","Sexe - total",82,87,84,96,95,103,113,91,89,88
"Domaine de formation - total","Zug","CFC","Plein temps en école","Sexe - total",145,130,116,117,117,141,171,197,200,200
"Domaine de formation - total","Zug","CFC","Dual","Sexe - total",3296,3315,3220,3127,3073,3086,3096,3106,3117,3237
"Domaine de formation - total","Zug","AFP","Plein temps en école","Sexe - total",16,17,13,12,11,4,2,1,2,0
"Domaine de formation - total","Zug","AFP","Dual","Sexe - total",177,169,194,198,174,180,193,171,157,166
"Domaine de formation - total","Fribourg / Freiburg","CFC","Plein temps en école","Sexe - total",879,903,895,890,896,941,934,978,996,1096
"Domaine de formation - total","Fribourg / Freiburg","CFC","Dual","Sexe - total",6697,6542,6624,6547,6434,6348,6384,6322,6435,6495
"Domaine de formation - total","Fribourg / Freiburg","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Fribourg / Freiburg","AFP","Dual","Sexe - total",354,374,390,372,388,416,420,376,370,360
"Domaine de formation - total","Solothurn","CFC","Plein temps en école","Sexe - total",135,139,125,124,125,129,120,125,117,118
"Domaine de formation - total","Solothurn","CFC","Dual","Sexe - total",5653,5512,5486,5389,5271,5257,5163,5127,5120,5242
"Domaine de formation - total","Solothurn","AFP","Plein temps en école","Sexe - total",4,5,4,3,3,3,2,2,3,3
"Domaine de formation - total","Solothurn","AFP","Dual","Sexe - total",540,541,564,567,617,621,581,590,518,519
"Domaine de formation - total","Basel-Stadt","CFC","Plein temps en école","Sexe - total",722,776,710,709,674,637,641,659,599,620
"Domaine de formation - total","Basel-Stadt","CFC","Dual","Sexe - total",4670,4677,4599,4440,4430,4328,4241,4180,4269,4444
"Domaine de formation - total","Basel-Stadt","AFP","Plein temps en école","Sexe - total",12,11,8,12,17,12,12,14,15,12
"Domaine de formation - total","Basel-Stadt","AFP","Dual","Sexe - total",509,509,464,469,448,448,424,427,422,383
"Domaine de formation - total","Basel-Landschaft","CFC","Plein temps en école","Sexe - total",799,789,785,725,663,663,616,642,699,746
"Domaine de formation - total","Basel-Landschaft","CFC","Dual","Sexe - total",4973,4934,4904,4881,4829,4767,4827,4801,4911,4941
"Domaine de formation - total","Basel-Landschaft","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Basel-Landschaft","AFP","Dual","Sexe - total",522,531,481,507,516,497,500,488,424,482
"Domaine de formation - total","Schaffhausen","CFC","Plein temps en école","Sexe - total",68,61,54,48,43,42,37,40,45,62
"Domaine de formation - total","Schaffhausen","CFC","Dual","Sexe - total",2277,2203,2188,2167,2131,2126,2118,2108,2107,2155
"Domaine de formation - total","Schaffhausen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Schaffhausen","AFP","Dual","Sexe - total",171,148,133,155,178,192,179,164,167,145
"Domaine de formation - total","Appenzell Ausserrhoden","CFC","Plein temps en école","Sexe - total",44,35,26,23,25,28,33,30,20,12
"Domaine de formation - total","Appenzell Ausserrhoden","CFC","Dual","Sexe - total",1248,1215,1218,1168,1136,1160,1163,1151,1155,1144
"Domaine de formation - total","Appenzell Ausserrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Appenzell Ausserrhoden","AFP","Dual","Sexe - total",102,107,101,95,112,113,96,90,78,88
"Domaine de formation - total","Appenzell Innerrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Appenzell Innerrhoden","CFC","Dual","Sexe - total",462,457,465,465,445,436,417,427,420,462
"Domaine de formation - total","Appenzell Innerrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Appenzell Innerrhoden","AFP","Dual","Sexe - total",21,17,18,25,32,22,27,26,23,15
"Domaine de formation - total","St. Gallen","CFC","Plein temps en école","Sexe - total",499,410,462,425,443,450,509,490,524,527
"Domaine de formation - total","St. Gallen","CFC","Dual","Sexe - total",14842,14597,14402,14074,13897,13732,13640,13482,13346,13356
"Domaine de formation - total","St. Gallen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","St. Gallen","AFP","Dual","Sexe - total",921,938,945,949,1024,1022,967,851,805,854
"Domaine de formation - total","Graubünden / Grigioni / Grischun","CFC","Plein temps en école","Sexe - total",227,202,217,228,270,282,297,291,289,308
"Domaine de formation - total","Graubünden / Grigioni / Grischun","CFC","Dual","Sexe - total",5225,5185,5062,4951,4895,4815,4715,4596,4578,4645
"Domaine de formation - total","Graubünden / Grigioni / Grischun","AFP","Plein temps en école","Sexe - total",2,0,0,4,1,1,1,1,2,1
"Domaine de formation - total","Graubünden / Grigioni / Grischun","AFP","Dual","Sexe - total",287,279,261,287,312,273,267,264,245,237
"Domaine de formation - total","Aargau","CFC","Plein temps en école","Sexe - total",752,784,780,782,665,566,598,590,624,649
"Domaine de formation - total","Aargau","CFC","Dual","Sexe - total",14605,14494,14379,14074,13981,13845,13806,13947,14121,14303
"Domaine de formation - total","Aargau","AFP","Plein temps en école","Sexe - total",1,7,2,1,0,0,0,0,1,2
"Domaine de formation - total","Aargau","AFP","Dual","Sexe - total",1060,1074,1101,1242,1322,1351,1340,1283,1205,1230
"Domaine de formation - total","Thurgau","CFC","Plein temps en école","Sexe - total",249,245,221,186,166,152,137,135,126,117
"Domaine de formation - total","Thurgau","CFC","Dual","Sexe - total",6273,6152,5952,5879,5842,5875,5845,5755,5870,5960
"Domaine de formation - total","Thurgau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Thurgau","AFP","Dual","Sexe - total",416,447,470,453,446,453,469,425,376,363
"Domaine de formation - total","Ticino","CFC","Plein temps en école","Sexe - total",3744,3867,3781,3846,3817,3857,3693,3654,3788,3941
"Domaine de formation - total","Ticino","CFC","Dual","Sexe - total",5784,5724,5698,5578,5513,5519,5604,5543,5503,5529
"Domaine de formation - total","Ticino","AFP","Plein temps en école","Sexe - total",44,50,42,33,35,32,47,49,44,45
"Domaine de formation - total","Ticino","AFP","Dual","Sexe - total",470,444,501,549,556,544,541,534,573,611
"Domaine de formation - total","Vaud","CFC","Plein temps en école","Sexe - total",3708,3866,3822,3702,3672,3708,3611,3464,3470,3356
"Domaine de formation - total","Vaud","CFC","Dual","Sexe - total",14142,13810,13598,13547,13466,13215,13253,13071,13226,13401
"Domaine de formation - total","Vaud","AFP","Plein temps en école","Sexe - total",0,12,1,27,17,28,21,4,29,27
"Domaine de formation - total","Vaud","AFP","Dual","Sexe - total",745,769,792,853,958,970,994,894,812,762
"Domaine de formation - total","Valais / Wallis","CFC","Plein temps en école","Sexe - total",1793,1788,1822,1788,1662,1637,1604,1603,1687,1690
"Domaine de formation - total","Valais / Wallis","CFC","Dual","Sexe - total",6940,6880,6837,6596,6528,6499,6465,6371,6474,6449
"Domaine de formation - total","Valais / Wallis","AFP","Plein temps en école","Sexe - total",23,26,23,30,34,40,42,35,30,23
"Domaine de formation - total","Valais / Wallis","AFP","Dual","Sexe - total",452,545,523,508,506,516,504,496,469,454
"Domaine de formation - total","Neuchâtel","CFC","Plein temps en école","Sexe - total",1828,1664,1526,1429,1293,1210,1075,1049,964,888
"Domaine de formation - total","Neuchâtel","CFC","Dual","Sexe - total",3592,3656,3608,3619,3602,3675,3736,3825,3846,3822
"Domaine de formation - total","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Domaine de formation - total","Neuchâtel","AFP","Dual","Sexe - total",300,325,293,318,338,351,343,316,293,289
"Domaine de formation - total","Genève","CFC","Plein temps en école","Sexe - total",4111,4240,4303,4158,4089,3954,3808,3762,3698,3828
"Domaine de formation - total","Genève","CFC","Dual","Sexe - total",4612,4607,4640,4651,4648,4787,4841,4814,4942,5073
"Domaine de formation - total","Genève","AFP","Plein temps en école","Sexe - total",82,82,68,82,97,110,101,108,96,101
